sample	avg_depth_GENOT_sites	n_GENOT_sites	n_missing_sites
L550_F01	51.2341048931	3413	350
L550_F02	23.9570692616	3494	269
L550_F03	19.950228833	3496	267
L550_F04	42.1110787172	3430	333
L550_F05	26.7966781214	3492	271
L550_F06	23.1546567929	3511	252
L550_F07	19.5116883117	3465	298
L550_F08	24.6019971469	3505	258
L550_F09	31.9493562232	3495	268
L550_F10	20.2602113682	3501	262
L550_V01	48.3450969048	3457	306
L700_V02	22.7869406136	3553	210
L700_V03	12.8684369342	3314	449
L700_V04	34.0386253905	3521	242
L700_V05	10.5776233035	3021	742
L700_V06	19.236019501	3487	276
L700_V07	10.8854235062	3046	717
L700_V08	29.139091419	3566	197
L700_V10	33.8322857143	3500	263
L550_V02	16.164244186	3440	323
L700_F01	23.5928246014	3512	251
L700_F02	25.7820366133	3496	267
L700_F03	16.7502158273	3475	288
L700_F04	19.6489361702	3478	285
L700_F05	14.7505166814	3387	376
L700_F06	5.89787234043	470	3293
L700_F07	27.1519094767	3535	228
L700_F08	18.6677334885	3437	326
L700_F09	19.1281828704	3456	307
L700_F11	22.3277984541	3493	270
L700_F12	23.1331644144	3552	211
L700_F13	22.7515831894	3474	289
L700_V01	42.8026391279	3486	277
L700_V11	6.49823113208	1696	2067
L700_V12	14.3994020927	3345	418
L700_V13	16.9965665236	3495	268
L700_V14	16.9347069066	3446	317
L700_V15	11.7537200121	3293	470
L700_V16	29.5646723647	3510	253
L850_F01	22.883319173	3531	232
L850_F02	39.7179340029	3485	278
L850_V01	18.6690340909	3520	243
L850_V02	56.6381175095	3421	342
L850_V03	30.0079840319	3507	256
L850_V04	36.9959965685	3497	266
L850_V05	45.5011428571	3500	263
L850_V06	21.937394247	3546	217
L850_V07	52.8961262554	3485	278
L850_V08	32.5204894707	3514	249
L850_V09	16.9505747126	3480	283
L850_V10	36.9664963089	3522	241
L850_V11	33.5444287729	3545	218
L850_V12	14.9213190628	3457	306
L850_V13	21.958698727	3535	228
S600_F01	15.0675925926	3240	523
S600_F02	20.7369327972	3482	281
S600_F03	10.0732507289	2744	1019
S600_F04	15.6180332652	3427	336
S600_F05	11.5559407501	3173	590
S600_F06	30.3162368943	3529	234
S600_F07	20.9474285714	3500	263
S600_F08	19.788564959	3533	230
S600_V01	18.467816092	3480	283
S680_D	22.1690300624	3526	237
S680_F01	14.5138681778	3353	410
S680_F02	14.844965845	3367	396
S680_F03	31.7789803475	3511	252
S680_F04	17.3495117748	3482	281
S680_F05	26.5561813574	3551	212
S680_F06	19.1605965013	3487	276
S680_F07	24.7282731377	3544	219
S680_F08	22.7437732608	3493	270
S680_F09	15.5921511628	3440	323
S680_F10	19.5926982316	3506	257
S680_V01	34.1254275941	3508	255
S680_V02	25.8496602492	3532	231
S680_V03	43.5359272934	3521	242
S680_V04	39.7597512719	3538	225
S680_V05	41.1656837967	3561	202
S680_V06	13.5435684647	3374	389
S680_V07	22.1211778029	3532	231
S680_V08	14.6594224472	3359	404
S680_V09	30.8046301525	3542	221
S680_V10	18.7828410689	3555	208
S800_F01	25.7926966292	3560	203
S800_F02	7.06054168879	1883	1880
S800_F03	20.5553381778	3578	185
S800_V02	11.8784080226	3191	572
S800_V03	13.0017725258	3385	378
S800_V04	36.1047752809	3560	203
S800_V05	37.7254294565	3551	212
S800_V06	14.435508346	3295	468
S800_V07	20.0065303805	3522	241
