sample	avg_depth_GENOT_sites	n_GENOT_sites	n_missing_sites
L1200_V01	39.4310257706	1979	81
L1200_V02	27.0491721024	1993	67
L1200_V03	6.3609406953	978	1082
L1200_V04	61.3299127758	1949	111
L1200_V05	36.0847628658	1982	78
L1200_V06	23.2880407125	1965	95
L1200_V07	21.622244489	1996	64
L1200_V08	10.007518797	1729	331
L1200_V09	5.46341463415	123	1937
L1200_V10	38.9117647059	1972	88
L1200_V11	18.5287878788	1980	80
L1200_V12	51.4103605891	1969	91
L320_F01	24.9044198895	1810	250
L320_F02	18.8966233766	1925	135
L320_F03	25.2577577578	1998	62
L320_F04	18.0576631259	1977	83
L320_F05	22.0479072113	1983	77
L435_F01	22.6358118361	1977	83
L435_F02	18.2620772947	828	1232
L435_F03	24.9409704852	1999	61
L435_F04	26.5320987654	810	1250
L435_F05	34.4402834008	1976	84
L435_F06	49.7404426559	1988	72
L435_F07	9.00522778193	1339	721
L435_F08	34.2150050352	1986	74
L435_F09	40.9652917505	1988	72
L435_F10	40.9359756098	1968	92
L435_F11	39.9048101266	1975	85
L435_F12	35.5131712259	1974	86
L435_F13	33.2218181818	825	1235
L435_F14	37.7314028957	2003	57
L435_F15	42.6832235175	1973	87
L435_F16	43.6207070707	1980	80
L435_F17	25.0945472736	1999	61
L550_F01	50.19062339	1941	119
L550_F02	22.8821736922	1969	91
L550_F03	19.1704834606	1965	95
L550_F04	40.318597561	1968	92
L550_F05	25.9737903226	1984	76
L550_F06	22.0832492432	1982	78
L550_F07	18.3399491094	1965	95
L550_F08	23.3876204972	1971	89
L550_F09	30.7559979581	1959	101
L550_F10	19.3184810127	1975	85
L550_V01	47.1708312086	1961	99
L550_V02	60.8985811876	1903	157
L700_F01	22.3113350126	1985	75
L700_F02	24.4659262998	1981	79
L700_F03	15.9572164948	1940	120
L700_F04	18.6051020408	1960	100
L700_F05	13.8123678647	1892	168
L700_F06	5.5119047619	252	1808
L700_F07	26.6226700252	1985	75
L700_F08	17.1670092497	1946	114
L700_F09	18.6546577458	1943	117
L700_F10	0	0	2060
L700_F11	20.8604769153	1971	89
L700_F12	21.9647710116	1987	73
L700_F13	21.3145038168	1965	95
L700_V01	41.625	1968	92
L700_V02	22.0372046254	1989	71
L700_V03	12.309071157	1841	219
L700_V04	34.1150753769	1990	70
L700_V05	9.53145208701	1701	359
L700_V06	18.2291985707	1959	101
L700_V07	10.2840512224	1718	342
L700_V08	27.3306693307	2002	58
L700_V09	5.8056206089	427	1633
L700_V10	32.9319556452	1984	76
L700_V11	5.96860986547	892	1168
L700_V12	13.8003169572	1893	167
L700_V13	16.5873662761	1963	97
L700_V14	15.8190231362	1945	115
L700_V15	11.3279044517	1842	218
